doc_id,umap_dim1,umap_dim2
0,-0.37813956,11.13103
1,-0.23751435,11.035511
2,-0.7900001,10.829024
3,-0.516762,8.081821
4,0.24266076,11.226377
5,0.051394243,11.030028
6,-0.41665202,11.035803
7,-0.21685024,10.957974
8,-0.14619689,10.92478
9,0.012670567,10.934126
10,0.830697,13.264504
11,0.38121492,11.243306
12,0.34939182,11.543319
13,0.03219119,6.462784
14,0.32200623,11.525414
15,0.43745747,11.558262
16,0.86938506,13.319458
17,0.49291033,11.639427
18,0.23669037,11.112211
19,0.66399777,12.58595
20,-0.9333455,8.073639
21,1.0096833,3.5892968
22,0.4977411,11.182412
23,1.1735551,6.3312774
24,1.7059963,11.973648
25,0.308438,11.12293
26,1.102471,6.528699
27,0.34549764,11.165231
28,0.46431047,11.170587
29,0.1227661,12.515747
30,3.4278955,12.287315
31,4.024529,11.103392
32,3.8919668,11.973368
33,3.288716,12.041325
34,3.3279417,11.930935
35,3.6511579,11.68103
36,4.010533,11.765006
37,3.229414,11.620574
38,3.3525438,11.840096
39,3.07984,10.892835
40,-2.6496828,4.3990235
41,2.8340194,10.872391
42,0.445267,10.651557
43,0.5557014,10.552727
44,0.44384432,11.080711
45,0.35559458,11.033352
46,0.48889494,10.75458
47,3.0386245,10.694393
48,2.9426477,11.042743
49,0.36492875,10.929008
50,-3.6024704,8.984823
51,-3.5070953,8.819998
52,-3.4173121,9.114775
53,-3.5164332,9.041371
54,-3.603353,8.992402
55,-3.558906,9.040699
56,-3.3642104,9.148458
57,-3.591132,8.981819
58,-3.546926,9.041296
59,-3.6410568,9.0194645
60,1.157616,3.397051
61,1.2063221,3.3121178
62,1.1868747,3.3465161
63,1.1843448,3.3994458
64,1.1634524,3.4248254
65,1.1687515,3.4170861
66,1.1667191,3.438408
67,1.1661249,3.4496686
68,1.198723,3.3573158
69,1.1556724,3.3230646
70,1.2649893,3.4190602
71,1.2597328,3.3620636
72,1.2866895,3.3366044
73,1.2760323,3.3928504
74,1.3107204,3.384803
75,1.2539918,3.2941368
76,1.307536,3.4075527
